Número de registro;Comunidad autónoma;Provincia;Localidad;Denominación;Estado de la fosa;Tipo de fosa;Estado actual;Ubicación precisa
2046/2010 HUEL;Andalucía;Huelva;Gibraleón;Fosas en el cementerio de Gibraleón;NO INTERVENIDA;-;-;N
2047/2010 HUEL;Andalucía;Huelva;Huelva;Fosa en el cementerio municipal;NO EXHUMADA, PERO DIGNIFICADA;-;11;N
2048/2010 HUEL;Andalucía;Huelva;Isla Cristina;Fosa del cementerio de Isla Cristina;NO INTERVENIDA;-;-;N
2049/2010 HUEL;Andalucía;Huelva;Lepe;Fosa en cementerio de Lepe;NO INTERVENIDA;-;-;N
205/2009 ASTU;Principado de Asturias;Asturias;Piloña;Cueva del Sidrón;NO EXHUMADA, PERO DIGNIFICADA;FUSILAMIENTO (OPCION A EXTINGUIR);11;N
2050/2010 HUEL;Andalucía;Huelva;Moguer;Fosa en cementerio de Moguer;DESAPARECIDA;-;1;N
2051/2010 HUEL;Andalucía;Huelva;Palos de la Frontera;Fosa en cementerio de Palos de la Frontera;NO EXHUMADA, PERO DIGNIFICADA;-;11;N
2052/2010 HUEL;Andalucía;Huelva;San Juan del Puerto;Fosa 1 en cementerio de San Juan del Puerto;NO EXHUMADA, PERO DIGNIFICADA;-;11;N
2053/2010 HUEL;Andalucía;Huelva;San Juan del Puerto;Fosa 2 en cementerio de San Juan del Puerto;NO EXHUMADA, PERO DIGNIFICADA;-;11;N
2054/2010 HUEL;Andalucía;Huelva;Trigueros;Fosa en cementerio parroquial de Trigueros;NO INTERVENIDA;-;-;N
2055/2010 HUEL;Andalucía;Huelva;Cabezas Rubias;Fosas en el cementerio de Cabezas Rubias;NO INTERVENIDA;-;-;N
2056/2010 HUEL;Andalucía;Huelva;Campillo, El;Fosa en cementerio de El Campillo;NO EXHUMADA, PERO DIGNIFICADA;-;11;N
2057/2010 HUEL;Andalucía;Huelva;Granada de Río-Tinto, La;Fosa en la finca 'La Nava';EXHUMADA TOTAL;-;5;N
2058/2010 HUEL;Andalucía;Huelva;Granada de Río-Tinto, La;Fosa en cementerio de La Granada;NO INTERVENIDA;-;-;N
2059/2010 HUEL;Andalucía;Huelva;Minas de Riotinto;Fosa en cementerio de Minas de Riotinto;NO EXHUMADA, PERO DIGNIFICADA;-;11;N
206/2009 ASTU;Principado de Asturias;Asturias;Piloña;Fosa de la Reboria (Recta de Lleu, Villamayor);EXHUMADA TOTAL;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
2060/2010 HUEL;Andalucía;Huelva;Nerva;Fosa en cementerio de Nerva;NO EXHUMADA, PERO DIGNIFICADA;-;11;N
2061/2010 HUEL;Andalucía;Huelva;Puebla de Guzmán;Fosas en el cementerio de Puebla de Guzmán;NO INTERVENIDA;-;-;N
